Files already downloaded and verified
Files already downloaded and verified

===> epoch: 1/200
train:
 1/782 [>...............................................................................]  Step: 5s195ms | Tot: 0ms | Loss: 4.6259 | Acc: 1.562% (1/64)
 2/782 [>...............................................................................]  Step: 136ms | Tot: 136ms | Loss: 4.6447 | Acc: 0.781% (1/128)
 3/782 [>...............................................................................]  Step: 133ms | Tot: 270ms | Loss: 4.6311 | Acc: 0.521% (1/192)
 4/782 [>...............................................................................]  Step: 133ms | Tot: 403ms | Loss: 4.6366 | Acc: 0.391% (1/256)
 5/782 [>...............................................................................]  Step: 133ms | Tot: 536ms | Loss: 4.6366 | Acc: 0.625% (2/320)
 6/782 [>...............................................................................]  Step: 132ms | Tot: 669ms | Loss: 4.6378 | Acc: 0.521% (2/384)
 185/782 [==================>.............................................................]  Step: 133ms | Tot: 24s624ms | Loss: nan | Acc: 1.030% (122/11840)
 186/782 [===================>............................................................]  Step: 132ms | Tot: 24s756ms | Loss: nan | Acc: 1.025% (122/11904)
 187/782 [===================>............................................................]  Step: 131ms | Tot: 24s888ms | Loss: nan | Acc: 1.019% (122/11968)
 188/782 [===================>............................................................]  Step: 130ms | Tot: 25s19ms | Loss: nan | Acc: 1.014% (122/12032)
 189/782 [===================>............................................................]  Step: 136ms | Tot: 25s155ms | Loss: nan | Acc: 1.009% (122/12096)
 190/782 [===================>............................................................]  Step: 132ms | Tot: 25s288ms | Loss: nan | Acc: 1.012% (123/12160)
 191/782 [===================>............................................................]  Step: 132ms | Tot: 25s420ms | Loss: nan | Acc: 1.006% (123/12224)
 192/782 [===================>............................................................]  Step: 131ms | Tot: 25s551ms | Loss: nan | Acc: 1.001% (123/12288)
 193/782 [===================>............................................................]  Step: 132ms | Tot: 25s684ms | Loss: nan | Acc: 0.996% (123/12352)
 194/782 [===================>............................................................]  Step: 133ms | Tot: 25s817ms | Loss: nan | Acc: 0.991% (123/12416)
 195/782 [===================>............................................................]  Step: 131ms | Tot: 25s949ms | Loss: nan | Acc: 0.986% (123/12480)
 196/782 [====================>...........................................................]  Step: 131ms | Tot: 26s81ms | Loss: nan | Acc: 0.989% (124/12544)
 197/782 [====================>...........................................................]  Step: 132ms | Tot: 26s213ms | Loss: nan | Acc: 0.999% (126/12608)
 198/782 [====================>...........................................................]  Step: 132ms | Tot: 26s346ms | Loss: nan | Acc: 1.018% (129/12672)
 199/782 [====================>...........................................................]  Step: 131ms | Tot: 26s477ms | Loss: nan | Acc: 1.013% (129/12736)
 200/782 [====================>...........................................................]  Step: 131ms | Tot: 26s609ms | Loss: nan | Acc: 1.008% (129/12800)
 201/782 [====================>...........................................................]  Step: 132ms | Tot: 26s741ms | Loss: nan | Acc: 1.011% (130/12864)
 202/782 [====================>...........................................................]  Step: 131ms | Tot: 26s873ms | Loss: nan | Acc: 1.013% (131/12928)
 203/782 [====================>...........................................................]  Step: 131ms | Tot: 27s5ms | Loss: nan | Acc: 1.008% (131/12992)
 204/782 [====================>...........................................................]  Step: 131ms | Tot: 27s137ms | Loss: nan | Acc: 1.011% (132/13056)
 205/782 [====================>...........................................................]  Step: 134ms | Tot: 27s271ms | Loss: nan | Acc: 1.006% (132/13120)
